#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resources Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
#
# Support Contact: usdafpacbc@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: 2009-10-01 to 2019-05-08
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 978: Bogus Basin, ID
#
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description
# Snow Depth             Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           SNWD          Total snow depth
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Bogus Basin (978)
# Idaho  SNOTEL Site - 6340 ft
# Reporting Frequency: Daily; Date Range: 2009-10-01 to 2019-05-08
#
# As of: May 8, 2019 6:27:25 AM GMT-08:00
#
Date,Snow Depth (cm) Start of Day Values,Snow Water Equivalent (mm) Start of Day Values
2009-10-01,0,0
2009-10-02,0,0
2009-10-03,0,0
2009-10-04,13,18
2009-10-05,15,23
2009-10-06,20,20
2009-10-07,18,20
2009-10-08,8,20
2009-10-09,5,13
2009-10-10,5,8
2009-10-11,5,8
2009-10-12,3,5
2009-10-13,0,0
2009-10-14,0,0
2009-10-15,0,0
2009-10-16,0,0
2009-10-17,0,0
2009-10-18,0,0
2009-10-19,0,0
2009-10-20,0,0
2009-10-21,0,0
2009-10-22,0,0
2009-10-23,0,0
2009-10-24,0,0
2009-10-25,0,0
2009-10-26,0,0
2009-10-27,0,0
2009-10-28,10,5
2009-10-29,8,5
2009-10-30,10,8
2009-10-31,5,15
2009-11-01,5,13
2009-11-02,3,5
2009-11-03,0,0
2009-11-04,0,0
2009-11-05,0,0
2009-11-06,0,0
2009-11-07,3,3
2009-11-08,3,5
2009-11-09,3,5
2009-11-10,3,8
2009-11-11,3,8
2009-11-12,5,15
2009-11-13,15,23
2009-11-14,20,28
2009-11-15,23,30
2009-11-16,20,38
2009-11-17,18,43
2009-11-18,18,43
2009-11-19,18,43
2009-11-20,18,43
2009-11-21,18,43
2009-11-22,20,43
2009-11-23,28,58
2009-11-24,28,58
2009-11-25,30,61
2009-11-26,25,61
2009-11-27,25,64
2009-11-28,30,64
2009-11-29,28,64
2009-11-30,28,64
2009-12-01,28,64
2009-12-02,28,64
2009-12-03,28,64
2009-12-04,28,64
2009-12-05,30,64
2009-12-06,28,64
2009-12-07,30,64
2009-12-08,30,64
2009-12-09,33,64
2009-12-10,30,64
2009-12-11,30,66
2009-12-12,30,71
2009-12-13,33,79
2009-12-14,38,79
2009-12-15,33,79
2009-12-16,66,119
2009-12-17,76,135
2009-12-18,71,135
2009-12-19,69,135
2009-12-20,69,137
2009-12-21,66,137
2009-12-22,66,140
2009-12-23,81,152
2009-12-24,76,152
2009-12-25,76,152
